type,country,post_ID,post_link
instagram,Indonesia,BxsNRc0nWDH,https://www.instagram.com/p/BxsNRc0nWDH/
instagram,Spain,Bxr-pf7C5a2,https://www.instagram.com/p/Bxr-pf7C5a2/
instagram,Brazil,ByIocgXBWHJ,https://www.instagram.com/p/ByIocgXBWHJ/
twitter,United States,1113956275061182464,https://twitter.com/seraphicpetal/status/1113956275061182464
twitter,Isreal,1113787584742871040,https://twitter.com/Ecoocean/status/1113787584742871040
twitter,India,1114875955841908737,https://twitter.com/chinukofficial/status/1114875955841908737
instagram,Phillipines,BxrcpNAHyoT,https://www.instagram.com/p/BxrcpNAHyoT/
twitter,United Kingdom,1116358725709828098,https://twitter.com/Hollycoopy/status/1116358725709828098
instagram,United Kingdom,B33_kRJgcCp,https://www.instagram.com/p/B33_kRJgcCp/
twitter,India,1113787584742871040,https://twitter.com/Ecoocean/status/1113787584742871040
twitter ,Israel,1158840244537626625,https://twitter.com/balcooly/status/1158840244537626625
instagram,Japan,B4eNntXhfgE,https://www.instagram.com/p/B4eNntXhfgE/
twitter ,Unites States,1190996526853709824,https://twitter.com/ayanaeliza/status/1190996526853709824
instagram,Greece,B4aK2ZBpIY6,https://www.instagram.com/p/B4aK2ZBpIY6/